commit	accuracy	yield_mse	combined_score	memory_gb	status	description
9aecdbf	99.90	0.0099	99.90	2.87	keep	exp 1
9aecdbf	99.90	0.0095	99.90	2.87	keep	exp 2
9aecdbf	100.00	0.0100	100.00	2.87	keep	exp 3
9aecdbf	99.90	0.0110	99.90	2.87	keep	exp 4
9aecdbf	99.60	0.0105	99.60	2.87	keep	exp 5
9aecdbf	100.00	0.0109	100.00	2.87	keep	exp 6
9aecdbf	99.90	0.0101	99.90	2.87	keep	exp 7
9aecdbf	99.90	0.0107	99.90	2.87	keep	exp 8
9aecdbf	99.90	0.0107	99.90	2.87	keep	exp 9
9aecdbf	100.00	0.0102	100.00	2.87	keep	exp 10
9aecdbf	99.40	0.0103	99.40	2.87	keep	exp 11
9aecdbf	99.90	0.0105	99.90	2.87	keep	exp 12
9aecdbf	100.00	0.0094	100.00	2.87	keep	exp 13
9aecdbf	99.30	0.0101	99.30	2.87	keep	exp 14
9aecdbf	100.00	0.0106	100.00	2.87	keep	exp 15
9aecdbf	99.50	0.0100	99.50	2.87	keep	exp 16
9aecdbf	99.90	0.0109	99.90	2.87	keep	exp 17
9aecdbf	99.60	0.0101	99.60	2.87	keep	exp 18
9aecdbf	99.80	0.0099	99.80	2.87	keep	exp 19
9aecdbf	99.90	0.0096	99.90	2.87	keep	exp 20
9aecdbf	99.80	0.0098	99.80	2.87	keep	exp 21
9aecdbf	99.90	0.0102	99.90	2.87	keep	exp 22
9aecdbf	99.80	0.0102	99.80	2.87	keep	exp 23
9aecdbf	99.60	0.0104	99.60	2.87	keep	exp 24
9aecdbf	99.90	0.0105	99.90	2.87	keep	exp 25
9aecdbf	99.80	0.0107	99.80	2.87	keep	exp 26
9aecdbf	99.90	0.0115	99.90	2.87	keep	exp 27
9aecdbf	99.90	0.0091	99.90	2.87	keep	exp 28
9aecdbf	99.90	0.0107	99.90	2.87	keep	exp 29
9aecdbf	99.40	0.0100	99.40	2.87	keep	exp 30
9aecdbf	99.70	0.0108	99.70	2.87	keep	exp 31
9aecdbf	100.00	0.0104	100.00	2.87	keep	exp 32
9aecdbf	100.00	0.0104	100.00	2.87	keep	exp 33
9aecdbf	99.90	0.0107	99.90	2.87	keep	exp 34
9aecdbf	99.50	0.0098	99.50	2.87	keep	exp 35
9aecdbf	99.90	0.0102	99.90	2.87	keep	exp 36
9aecdbf	99.90	0.0109	99.90	2.87	keep	exp 37
9aecdbf	99.90	0.0103	99.90	2.87	keep	exp 38
9aecdbf	99.90	0.0095	99.90	2.87	keep	exp 39
9aecdbf	99.90	0.0099	99.90	2.87	keep	exp 40
9aecdbf	99.90	0.0093	99.90	2.87	keep	exp 41
9aecdbf	100.00	0.0105	100.00	2.87	keep	exp 42
9aecdbf	99.70	0.0103	99.70	2.87	keep	exp 43
9aecdbf	99.80	0.0103	99.80	2.87	keep	exp 44
9aecdbf	100.00	0.0097	100.00	2.87	keep	exp 45
9aecdbf	99.70	0.0099	99.70	2.87	keep	exp 46
9aecdbf	99.90	0.0102	99.90	2.87	keep	exp 47
9aecdbf	99.90	0.0101	99.90	2.87	keep	exp 48
9aecdbf	100.00	0.0103	100.00	2.87	keep	exp 49
9aecdbf	100.00	0.0097	100.00	2.87	keep	exp 50
9aecdbf	99.70	0.0101	99.70	2.87	keep	exp 51
9aecdbf	99.80	0.0099	99.80	2.87	keep	exp 52
9aecdbf	99.70	0.0100	99.70	2.87	keep	exp 53
9aecdbf	99.80	0.0097	99.80	2.87	keep	exp 54
9aecdbf	100.00	0.0108	100.00	2.87	keep	exp 55
9aecdbf	99.80	0.0102	99.80	2.87	keep	exp 56
9aecdbf	99.70	0.0109	99.70	2.87	keep	exp 57
9aecdbf	99.80	0.0107	99.80	2.87	keep	exp 58
9aecdbf	99.90	0.0103	99.90	2.87	keep	exp 59
9aecdbf	99.90	0.0104	99.90	2.87	keep	exp 60
9aecdbf	99.90	0.0094	99.90	2.87	keep	exp 61
9aecdbf	99.80	0.0102	99.80	2.87	keep	exp 62
9aecdbf	100.00	0.0102	100.00	2.87	keep	exp 63
9aecdbf	99.70	0.0103	99.70	2.87	keep	exp 64
9aecdbf	99.70	0.0104	99.70	2.87	keep	exp 65
9aecdbf	99.90	0.0099	99.90	2.87	keep	exp 66
9aecdbf	100.00	0.0102	100.00	2.87	keep	exp 67
9aecdbf	99.90	0.0102	99.90	2.87	keep	exp 68
9aecdbf	99.90	0.0101	99.90	2.87	keep	exp 69
9aecdbf	99.80	0.0106	99.80	2.87	keep	exp 70
9aecdbf	99.70	0.0103	99.70	2.87	keep	exp 71
9aecdbf	99.90	0.0112	99.90	2.87	keep	exp 72
9aecdbf	99.90	0.0099	99.90	2.87	keep	exp 73
9aecdbf	99.90	0.0095	99.90	2.87	keep	exp 74
9aecdbf	100.00	0.0100	100.00	2.87	keep	exp 75
9aecdbf	99.60	0.0104	99.60	2.87	keep	exp 76
9aecdbf	100.00	0.0096	100.00	2.87	keep	exp 77
9aecdbf	99.70	0.0099	99.70	2.87	keep	exp 78
9aecdbf	99.50	0.0111	99.50	2.87	keep	exp 79
9aecdbf	100.00	0.0107	100.00	2.87	keep	exp 80
9aecdbf	100.00	0.0102	100.00	2.87	keep	exp 81
9aecdbf	100.00	0.0092	100.00	2.87	keep	exp 82
9aecdbf	100.00	0.0098	100.00	2.87	keep	exp 83
9aecdbf	100.00	0.0105	100.00	2.87	keep	exp 84
9aecdbf	99.90	0.0101	99.90	2.87	keep	exp 85
9aecdbf	99.90	0.0097	99.90	2.87	keep	exp 86
9aecdbf	100.00	0.0106	100.00	2.87	keep	exp 87
9aecdbf	99.80	0.0105	99.80	2.87	keep	exp 88
9aecdbf	99.70	0.0104	99.70	2.87	keep	exp 89
9aecdbf	100.00	0.0100	100.00	2.87	keep	exp 90
9aecdbf	99.80	0.0108	99.80	2.87	keep	exp 91
9aecdbf	100.00	0.0093	100.00	2.87	keep	exp 92
9aecdbf	100.00	0.0110	100.00	2.87	keep	exp 93
9aecdbf	99.90	0.0106	99.90	2.87	keep	exp 94
9aecdbf	99.80	0.0099	99.80	2.87	keep	exp 95
9aecdbf	99.80	0.0098	99.80	2.87	keep	exp 96
9aecdbf	99.70	0.0095	99.70	2.87	keep	exp 97
